Designator,Mid X,Mid Y,Rotation,Layer
U$14,218.5466,-86.84895,270.0,top
U$15,218.54795,-92.111275,90.0,top
U$16,172.397975,-62.137925,0.0,top
U$18,187.637975,-128.019175,0.0,top
U$2,151.6811,-96.1898,0.0,top
U$3,147.791725,-60.717925,0.0,top
U$4,205.17985,-61.820425,180.0,top
U$5,212.3236,-107.46105,270.0,top
U$6,209.94235,-107.46105,270.0,top
U$7,131.20235,-61.5823,270.0,top
U$8,211.3711,-118.89105,180.0,top
U$9,217.641725,-89.36355,0.0,top
U1,120.29,-113.625,0.0,top
U2,179.799,-90.13,0.0,top
USB1,222.950325,-89.36355,180.0,top
X1,208.2161,-148.32605,270.0,top
X2,216.92735,-124.7648,90.0,top
X3,148.301,-73.079,180.0,top
