Partlist

Exported from csa_ultracpu.sch at 4/17/22 9:51 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Device             Package          Library          Sheet
R17      10k                R-EU_0204/5        0204/5           rcl              1
R18      1k                 R-EU_0204/2V       0204V            rcl              4
R19      1k                 R-EU_0204/2V       0204V            rcl              4
R20      1k                 R-EU_0204/2V       0204V            rcl              4
R21      2k                 R-EU_0204/2V       0204V            rcl              4
R22      390                R-EU_0207/2V       0207/2V          rcl              3
RN2      10k                RN08               RN-9             resistor-net     1
S1                          31-XX              B3F-31XX         switch-omron     3
TO1      LM2937SOT-3.3V     LM2937SOT          SOT223           csa              3
U$1      W65C816SPLCC       W65C816SPLCC       PLCC44           csa              2
U$2      XC95288XLTQ144     XC95288XLTQ144     TQFP144          csa              2
U$3      DS1813             DS1813             TO92             csa              3
U$4      SPIFLASH           SPIFLASH           DIL08            csa              2
U$7      XILINXPROG         XILINXPROG         FLAT10BOX        csa              2
U$9      ETHOLIENC          ETHOLIENC          ETHOLIENC        csa              5
U$12     SD-CARD-GRAVI      SD-CARD-GRAVI      GRAVITECH-SDCARD csa              5
U$13     MCP79510           MCP79510           MSOP10           csa              5
USB1     USB-A-H            USB-A-H            USB-A-H          con-usb-2        5
X2       D-SUB15-HDR15RA    D-SUB15-HDR15RA    HDR15RA          con-thomas-betts 4
